,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL63786,0.003,nM,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,11.52287875,349.0214595,3,1,5.2891,TRUE
1,CHEMBL35820,0.006,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,11.22184875,387.0582389,5,1,4.9333,TRUE
2,CHEMBL53711,0.006,nM,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.22184875,343.0432575,5,1,3.5969,TRUE
3,CHEMBL66031,0.008,nM,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.09691001,339.0119574,4,2,4.0122,TRUE
4,CHEMBL53753,0.008,nM,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.09691001,329.0276075,5,2,3.5726,TRUE
5,CHEMBL176582,0.01,nM,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,11,353.0276075,5,1,4.0226,TRUE
6,CHEMBL29197,0.025,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.60205999,359.0269388,5,1,4.1531,TRUE
7,CHEMBL174426,0.025,nM,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,10.60205999,353.0276075,5,1,4.0226,TRUE
8,CHEMBL1243316,0.03,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C[NH2+]CC#C,10.52287875,477.1367808,6,3,4.75878,TRUE
9,CHEMBL363815,0.037,nM,Fc1cc(Cl)c(Cl)cc1Nc1ncnc2ccc(NC(=O)C=C)cc12,10.43179828,376.0293946,4,2,4.9438,TRUE
10,CHEMBL3613702,0.037,nM,Fc1cc(Nc2ncnc3ccc(NC(=O)C=C)cc23)cc(Cl)c1Cl,10.43179828,376.0293946,4,2,4.9438,TRUE
11,CHEMBL275762,0.07,nM,Fc1cc(Cl)c(Cl)cc1Nc1ncnc2ccc(NC(=O)CCl)cc12,10.15490196,397.9904222,4,2,4.9966,TRUE
12,CHEMBL327307,0.072,nM,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,10.1426675,436.9374509,5,1,4.9156,TRUE
14,CHEMBL53428,0.09,nM,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,10.04575749,343.0432575,5,1,3.5969,TRUE
15,CHEMBL420624,0.1,nM,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,10,314.0167085,4,2,3.7181,TRUE
16,CHEMBL55729,0.1,nM,Nc1ccc2cncnc2c1,10,145.0639972,3,1,1.212,TRUE
17,CHEMBL190094,0.11,nM,C[NH+](C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,9.958607315,433.0872438,5,2,4.8756,TRUE
18,CHEMBL328216,0.12,nM,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.920818754,329.0276075,5,3,3.3003,TRUE
19,CHEMBL193160,0.12,nM,ClCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,9.920818754,437.9744367,4,2,4.1553,TRUE
20,CHEMBL3930620,0.12,nM,ONC(=O)CCCCCCn1cc(nn1)-c1ccc2ncnc(Nc3cccc(Cl)c3F)c2c1,9.920818754,483.1585789,8,3,4.8803,TRUE
21,CHEMBL51853,0.13,nM,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056648,315.0119574,5,2,3.1131,TRUE
22,CHEMBL54400,0.13,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.886056648,329.0276075,5,2,3.5726,TRUE
23,CHEMBL3892310,0.13,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC12,9.886056648,511.1786456,7,2,4.4934,TRUE
24,CHEMBL417478,0.16,nM,Fc1ccc(Nc2ncnc3cc(\C=C\CCN4CCOCC4)c(NC(=O)C=C)nc23)cc1Cl,9.795880017,482.1633299,7,2,4.4209,TRUE
25,CHEMBL418967,0.17,nM,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551079,415.089539,5,1,5.7135,TRUE
26,CHEMBL592617,0.17,nM,Brc1cccc(Nc2ncnc3ccc(NC(=O)CC#N)cc23)c1,9.769551079,381.0225221,5,2,3.98808,TRUE
27,CHEMBL93032,0.17,nM,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551079,330.9956387,5,3,3.5471,TRUE
28,CHEMBL166093,0.18,nM,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727495,389.0487369,7,4,2.296,TRUE
29,CHEMBL2031302,0.18,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,9.744727495,386.0945817,5,2,4.6891,TRUE
30,CHEMBL166154,0.19,nM,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399,285.0781231,5,2,3.4635,TRUE
31,CHEMBL165864,0.19,nM,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399,359.0381722,6,3,2.9351,TRUE
33,CHEMBL437879,0.208,nM,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,9.681936665,367.0290602,5,1,4.8365,TRUE
34,CHEMBL161956,0.22,nM,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319,373.0538222,6,2,2.9594,TRUE
35,CHEMBL2031300,0.23,nM,C[NH+]1CCN(CC1)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.638272164,468.1273215,6,2,3.7119,TRUE
36,CHEMBL127041,0.24,nM,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.619788758,359.0381722,6,3,2.9351,TRUE
