SMILES,Name
COc1ccc(cc1)\C=N/NC(=O)c1cc(n[nH]1)-c1ccccc1Cl,ZINC00867760
Fc1cccc(Cl)c1\C=N/NC(=O)c1ccc(Cn2cccn2)o1,ZINC03912502
COc1ccc(NC(=O)CCc2nc(no2)-c2ccc(F)cc2)cc1,ZINC02336668
CC(=O)Oc1ccc(cc1)C(=O)Nc1ccccc1Br,ZINC00031671
Cc1cccc(NC(=O)CN2C(=O)S\C(=C\c3ccccn3)C2=O)c1,ZINC04468389
CN(CCc1ccccn1)C(=S)NNC(=C)c1cnccn1,ZINC04627859
COc1ccc(cc1I)C(=O)Nc1ccc(NC(C)=O)cc1,ZINC00670781
COc1ccccc1NC(=O)CC1Sc2ccccc2NC1=O,ZINC00080794
Oc1ccc(CC2NC(=S)N(C2=O)c2ccccc2)cc1,ZINC00171204
COc1ccc(O)c(c1)\C=N/NC(=O)COc1ccc(Br)cc1,ZINC03971767
Fc1cccc(F)c1NC(=O)CSc1nnc2[nH]c3ccccc3n12,ZINC03500746
COc1ccc(cc1)N1C=CC([O-])=C(Cc2ccc(Cl)cc2)C1=O,ZINC01392762
CC(N(c1ccccc1)S(C)(=O)=O)C(=O)Nc1cccc(Br)c1,ZINC00979728
Fc1ccc(cc1)C(=O)NNC1CC(=O)N(Cc2ccccc2)C1=O,ZINC03375184
CSc1ccccc1NC(=O)C1CC(=NO1)c1ccccc1Cl,ZINC00614591
COc1ccccc1-n1nnc(C(=O)NCc2cccs2)c1N,ZINC00424348
Oc1cc(C(=O)NCc2ccc(F)cc2Cl)c2ccccc2n1,ZINC00218283
COc1cccc(c1)C(=O)[N-]c1nnc(Cc2ccccc2F)s1,ZINC00178752
COc1cccc(c1)N1C(=O)NC(=O)\C(C1=O)=C/c1ccc(F)cc1,ZINC02286233
CC(=O)CSc1nnc(CN2c3ccccc3Sc3ccccc23)o1,ZINC02581612
Cc1cccc(NC(=O)C2=C(C)N=C(S)NC2c2ccc(O)cc2)c1,ZINC00753449
COc1ccc(cc1)C1=CC(c2ccc(Cl)cc2)n2nnnc2N1,ZINC00222256
